Title|Year|Plot
Bangis|2011|A TV adaptation of the Carlo J. Caparas komiks novel 'Matatalim na Pangil sa Gubat,', Bangis, a giant but playful and gentle prehistoric creature who acts and feels human, may not be your usual best friend. But he will surely capture everyone's affection with his very humane nuances and care for his best buddy Eboy (BJ Go). 
Bangkok Airport|2015|The staff are being extra specially nice on the eve of the annual airport awards. Everybody wants to win the coveted award for customer service, but not everyone is impressed by the customer care that they are getting - Kosmos and Harry can't get a flight back to London, and Will is left high and dry after a night on the town, but he only has himself to blame. The medical team rally around when a British backpacker puts his foot in it, and we meet an airport doctor who is so popular that he has his own fan club. 
Bangkok Hilton|1989|The story of Kat Stanton (Kidman), an Australian woman searching for her father who, whilst travelling back from London to Australia via Thailand, makes friends with Arkie Ragan (Ehlers), a photographer. Kat is tricked into carrying some luggage through Thai customs for Arkie, only for the police to find drugs in his bag. Kat is sentenced to spend time in the horrific "Bangkok Hilton" prison, where she makes friends with fellow inmate Mandy Engels (Smithers), who has been sentenced to death. Whilst she endures the terrible conditions inside, Kat's lawyer Richard Carlisle (Weaving) and ex-patriot Hal Stanton (Elliott) battle with the authorities to have her freed. 
Bangla Bangers|2007|Leepu converts rusting old autos into Ferrari and Lamborghini styled fast sports cars and limousines in his small workshop in Bangladesh's capital of Dhaka, and then later in the "Chop Shop" garage he and Bernie operate out of in Brick Lane, which is Britain's largest Bangladeshi community. What makes these episodes notable is that the vehicles constructed by the team are made in a meagershop using lo-tech, basic tools; the bodywork is handmade from sheet metal. Assisted by Bernie's mechanical expertise, the improvements are sometimes questionable. 
Bangs|????|Boston Metropolitan Police officer Joey Bangs orchestrates three spectacular crimes: the $30-million Depositors Trust Bank heist, Examscam (the sale of stolen police exams), and the largest drug distribution ring in New England history. Based on the nonfiction book "Bangs: A Policeman's Guide to Corruption" by D.B. Flowers, Jr., with Cameron Deaver. 
Banished|2015|British drama created by Jimmy McGovern. The seven-part serial is inspired by events in the eighteenth century when Britain established a penal colony in Australia. 
Banja|2006|Banja is a young musical genius, and a veritable "hit-maker". But he has a rebellious streak, and after breaking his contract with his record company (DO-MI-NANT), he finds himself taken prisoner on an island called Hitland. Hitland is inhabited by a group of musicians, all imprisoned there for breaking their contract. The only way of escaping the island is to agree to go back to composing "hits" for the powerful record company. But BANJA refuses to give in, and tries to escape. Unfortunately, the island's guards catch him every time. Whilst trying to find an escape route, Banja meets all the other prisoners on the island, each of whom represents a different musical style (blues, jazz, pop, country, techno, etc...). 
Banjica|1984|During the Nazi occupation, Serb quisling government is running a concentration camp called Banjica. Jews, captured Partisans and resistance sympathizers are held there until they are transported to death camps or shot. A young girl, arrested for listening to allied radio-stations, must endure the hell of being there. 
Bank of Dave|2012|Bank of Dave is an observational series that will chart entrepreneur David Fishwick's progress as he tries to create a bank from scratch and get it into profit in only 180 days. Can one man really take on the banking giants and make a real difference to local businesses? 
Bank of Mom and Dad|2009|26-year-old Carmela is a restaurant manager in Bayonne, NJ, who has found herself sinking into debt because of her pricey shopping habits. Over a third of her monthly income goes to clothes, makeup, tanning, nails and cigarettes. Engaged to her fiancÃ, Marcus, she also owes her future in-laws thousands of dollars in "loans." But despite all her money troubles, Carmella still expects to have her big, expensive Italian dream wedding. With the help of money coach Farnoosh Torabi, Carmela's parents, Mary and Joseph, team up to give their daughter a wake-up call about the realities of her wedding expectations vs. her actual budget 
Banker Madness!|2016|Marijuana has been legalized in the United States, and without surprise the world has not turned into anarchy. However, when marijuana distributors start unionizing and become their own bank, one of the most powerful bankers, Rob Argent, sets out to destroy them and make marijuana illegal again. Twin brothers battle it out in the fight between good vs evil, yin vs yang, bankers vs stoners. 
Bannan|2014|Mairi MacDonald returns home to the island which she deserted eight years ago. She left to escape her family, the place, its claustrophobia and its customs". Mairi initially returns for the funeral of a family friend. 
Banned in the UK|2005|Controversy and censorship 1995-99, includes CRASH and KIDS, alcopops, Beaver Espania ad, corporal punishment, gays in the army, the Sensations and Mapplethorpe exhibits, David Hamilton's teen pics, Marilyn Manson and the Dunblane massacre. 
BannÃ bunka nekomusume Dash|1998|It's in the not too distant future. One day Nuku-Nuku dropped in and began to live with the Natsume family. Having lost her memory, Nuku-Nuku assumed the identity of a beautiful girl named Atsuko Higuchi. She was so beautiful and gentle, and besides, she was such a great cook that Ryunosuke, 14, was all smiles. However, after her arrival in town, a series of mysterious incidents started to happen in Maneki City - Experimental machines running haywire, roaring fighter aircraft flying low, mass destruction in the city. In every case, a mysterious girl was spotted at the scene of the incident. 
BannÃ bunka nekomusume|1992|When Ryunosuke's pet cat is fatally injured, his slightly mad father saves the feline by putting its brain into a cute and cuddly robot school girl's body. Meanwhile, Ryunosuke's mother uses major military equipment to try and regain custody of her son. 
Banoo Main Teri Dulhann|2006|Dulhan is the love story of an innocent, illiterate girl Vidya and a mentally challenged young man Sagar. Vidya, on the night of her marriage, comes to know about Sagar's abnormal mental state of an eight-year old child due to an accident in the past. The story deals with Vidya's struggle in gaining Sagar's love and trust and the hurdles that she faces for the same from Sagar's evil step sister Sindoora. 
Banshee|2013|Lucas Hood, an ex-con and master thief, assumes the identity of a murdered sheriff where he continues his criminal activities. His past seems to haunt him by those he betrayed years earlier. This ex-con imposes his own brand of justice where violence erupts at every turn in the not so quiet Amish town of Banshee, Pennsylvania. A man has just been released from jail after serving a 15-year sentence. He sets out to find his former girlfriend, and tracks her down to Banshee, Pennsylvania, a small, peaceful-looking Amish town. When he gets there he is witness to the murder of the newly-arrived Sheriff, Lucas Hood. As he needs to start a new life, and nobody knew what the new Sheriff looked like, he assumes his identity. Little does he realize the danger he has put himself in. Meanwhile, his pre-prison past is catching up with him too. 
Bantatay|2010|Meet television's newest canine hero - a lovable, frisky and intelligent yellow Labrador called Bantay. This canine hero takes center stage in GMA7's newest primetime drama about an extraordinary bond between a dog and his master. A touching and inspiring interpretation of a father's undying love for his children and his special relationship with the so-called 'man's best friend', Bantatay is an original concept that revolves around a family who loves dogs. Leading the cast of Bantatay is action star-turned-comedian Raymart Santiago, who will breathe life to the character of Bernard. A loving and kind-hearted father who works as a veterinarian, his character will die in the story but by a startling twist of fate, returns to life in the body of a Labrador Retriever named Bantay. 
Banyon|1971|Miles Banyon was a tough but honest private detective operating out of Los Angeles during the '30s. For $20 a day plus expenses, Banyon would take almost any case, ranging from missing persons to theft to murder. Since his office was located in the same building as Peggy Revere's secretarial school, Banyon found himself with a different pretty receptionist almost every week. His police contact was Sgt. McNeil. 
Banzai|2001|In the first episode we see how long Mr Shakehands is able to hold Donna Air's hand? We watch as two old ladies play 'chicken' on their mobility scooters, and Ian Smith (aka Harold Bishop from Neighbours) plays 'knock down ginger'. Also, who will win 'The Wig Man Wager'? (Who is wearing the wig and who has his own hair?) 
Bapmokja and Haeppy|2016|Welcome to korea and to BapMokja and Haeppy. We are going to show you the hottest/interesting K-trends with our show called "twoplustwo," a variety show of challenges, reviews, games and discussions. Hope you enjoy our videos, and if there's anything you want to know, please leave a comment and let us know. 
Bar Flies|2012|You never know what draws you to those hole in the wall bars but you always get the most interesting stories and people there. Meet the Bar Flies, Chad, Evan, Wayne, Sheri, Eve, Dan, and Jackson. The Pilot introduces some of the main characters as we follow the (mis)adventures of this crew as they unwind at their favorite hangout. 
Bar Karma|2010|Who's the bad guy? A man accidentally kills a serial killer. After a sleepless night, he finds himself in Bar Karma, where he asks if he did the right thing, or if he's as bad as the serial killer. They show him videos of him being hailed a hero for ending the serial killers streak of terror and also of him described as a villain by the serial killer's parents. Then he's shown a video of what might have happened if he didn't kill the serial killer, who goes on to be the worst murderer in recorded history. He is given the option to go back in time and relive the event. Will he make the same decision to kill the serial killer again or not? 
Bar Rescue|2011|In Spike TV's new series, Bar Rescue, Jon Taffer, one of the country's top restaurant and bar consultants, will give failing establishments one last chance to succeed. The show will delve into every business facet of running a bar from creating a profitable drink/food menu to crowd management to music selection to managing disgruntled employees. This marks the first food/beverage-themed show for Spike TV, furthering its effort to expand and broaden its audience. Taffer will use his "in-your-face" style along with his renowned method of management called "Taffer Dynamics" to transform the bar into a vibrant, profitable establishment. He will utilize everything from state-of-the-art science such as eye tracking technology, monitoring of body temperature and even reading pheromone output in patrons in order to create an ambitious plan of action. Taffer will focus on one establishment per episode from cities all around the country. Taffer's wife, Nicole, will appear in the show along with a rotating group of experts. 
Bar Rescue: Back to the Bar|2015|"Bar Rescue" heads "Back to the Bar" to check up on some of Jon Taffer's most challenging rescues. This "where are they now" special features never before seen footage of what happened after the "Bar Rescue" cameras left town. Taffer and his team follow the revisited bars through an evening shift, re-inspect the facilities for cleanliness and answer the question on every "Bar Rescue" fan's mind: "did they follow Jon's advice or not?" 
Bara med Bruno|1997|The 40-something Bruno MÃrtensson has returned to Sweden from a successful career abroad. In his new talk show he invites a special guest every week and reveals the truth about him or her that they thought was forgotten. Hidden alcohol problems, a successful career as a soccer star in Brazil or crimes committed long ago, nothing will stop Bruno from revealing the truth! 
Bara no jujika|2002|In the prime of his career as a TV ad director, Togo finds himself at a crossroads. His wife Sumiko hasn't given him any children, and because of it his mother Sae berates her mentally for this by giving her baby presents almost everyday, whether she likes it or not. One day he meets a woman called Aki whom he mistakenly takes for a model his right-hand man Kyosuke wanted to meet for another commercial. Aki is really a career woman living with her divorced mother Yuriko and younger sister Masami, who is married and has a daughter of her own. Due to her parents' divorce, as well as a traumatic experience when she was younger, she doesn't trust men at all. Her proposal to Togo, "I don't want a relationship with you, to get married to you, or even you giving me money. All I want is for you to help me have a child," seems shocking to him. But as the problems at home and at work bear down on him, and seeing the danger Aki puts herself in contacting other men who reject her proposal, Togo eventually accepts. Nonetheless, Aki remains stern that he have no contact with her or their child, and before you know it she's flown to New York by herself for graduate study. Four years later... Aki has returned from New York and is now raising Seiji, the child she had with Togo, with help from her friends Hinako, Eri and Junya. Junya has long had a crush on Aki and thus cares for Seiji as his real son. But Togo still has the same problems that led him to Aki in the first place. Sumiko still hasn't given him any children, and the atmosphere in the Kudo house remains as tense as ever. When he sees Aki and Seiji with Junya, he realizes how much he's been missing, and decides to help them out - like it or not, he's still Seiji's father, after all. Aki eventually makes him meet Seiji, and Togo's paternal instinct is awakened, fully throwing himself into, if not caring for him all the time, at least having him always in his heart. Of course, Sumiko finds out about this, and decides to strike back. Family and friends on both sides, seeing the three's attraction as not in their best interests, will conspire to keep Aki, Seiji, and Togo apart... 
Barack Obama's Cousin|2010|This explosive Episode 5 is about Barack Obama's Cousin who is walking her dog. The dog takes a dump on a neighboring lawn and a jogger passing by lights into Barack Obama's Cousin. The situation takes a positive twist when her sidekick shows the jogger the Barack Obama's Cousin Card. 
Barakamon|2014|As a punishment for punching a famous calligrapher, young handsome calligrapher Handa Seishu is exiled to a small island. As someone who has never lived outside of a city, Handa has to adapt to his new wacky neighbors, like people traveling on a tractor, unwanted visitors who never use the front door, annoying kids using his home as a playground, etc. Can this city guy handle all the crazy hardships? Find out in this wacky island comedy full of innocence and laughter! (Source: myanimelist.net) 
Barangay 143|2017|Bren Park after a tragedy stroked his family gives up his dream of becoming a great basketball player and swears never to play the sports he loved so dear. He goes to the Philippines where he reflects about himself and attempts to regain his passion in the game. Coach B, a legendary basketball coach in Manila whose son was killed a crime syndicate seeks justice by using the basketball which had a connection to his son's loss to find the culprits. He assembles a team of misfits to lead them to victory. Coach B finds himself needing a team captain and meets Ben Park who also has a tragic background relating to the ballgame. 
Barangay Teegang|2017|Barangay Teegang is a Filipino social media sitcom created by CJ Santos. The show will premiere on Tee Radio on September 1, 2017. The show is primarily centered on 2 story arcs. The first arc centers on the friendship of Jeff, Rhodman and Kurt, who was forced to transfer to a new apartment owned by Tita Malou and Don Roman who both claimed ownership to the house. Jeff is a culinary student who is friends with Rhodman, a varsity player and Kurt, a musician. The second story arc centers on the triangle love affair of Tita Malou, a widow and mother of Jinky and Jingle. Don Roman, a local gambling chief and Kap, the barangay captain. The kindness of Jeff, awkwardness of Kurt and comic relief of Rhodman is the main focus of the show. 
Barbara Mandrell and the Mandrell Sisters|1980|Country music superstar Barbara Mandrell hosted this Sid and Marty Krofft-produced music-variety series with her younger sisters, Louise and Irelene. Also helping out was Truck Shackley & the Texas Critters, a group of Krofft puppets that included five musicians and a dog. While most of the show's material centered on comedy sketches (including a regular play depicting the sisters' youths), the meat of the show remained rooted in country music. Each week, a well-established country star (e.g., Dolly Parton, Larry Gatlin, Charley Pride, the Statler Brothers and Marty Robbins) and an up-and-coming act of the era (including later superstar acts Alabama, Ricky Skaggs and Steve Wariner) made appearances, playing their biggest and current hits. The show played off the success of Barbara Mandrell's fast-exploding country career, which included sell-out concerts and a string of No. 1 hits (most notably, "Sleeping Single in a Double Bed" and "I Was Country When Country Wasn't Cool"); in fact, the Country Music Association named her Entertainer of the Year in 1980 and 1981. Louise Mandrell had some top 10 country hits of her own in the early- and mid-1980s. 
Barbara|1995|Whether she likes it or not the out-spoken, no-nonsense Yorkshire woman Barbara ('Gwen Taylor') has become the agony aunt, problem-solver for her extended family. Her husband, Ted ('Sam Kelly'), has the most amazing of adventures whilst driving his cab everyday whilst her outrageous son-in-law, Martin ('Mark Benton' (qv)), seems to investigate the most bizarre news stories for the local television station. Even at work she can't escape as she gets it in one ear from the other receptionist, Doreen ('Madge Hindle' (qv)), whose husband becomes involved in the most perverse of activities and in the other from her sister Jean ('Sherrie Hewson' (qv)) who positively enjoys relating her latest sexual conquests. Through it all Barbara struggles vainly on hoping one day for a quieter life! 
Barbarians II|2007|Under three generations of leaders know as the Merovingian dynasty a tribe in Europe called the Franks established an empire that comprised all of Gaul and its surrounding regions. This feat was accomplished through flirtations with the Roman empire and Catholic Church including military service and conversion to Christianity. 
Barbarians Rising|2016|As the Roman Empire expands, it encounters local populations that it considers 'barbarians', who fight back, effectively and savagely, dealing Rome one blow after another. Hannibal, Viriathus, Armenius, Spartacus and more strike back against Rome, some from without and some from within. See their struggles, their motivations, and the outcomes as these indigenous people's fight for survival, revenge and justice. 
Barbarians|2006|In Greece and Iran, Jones argues that the ancient Greeks and Persians were far from the Roman view of being effeminate and addicted to luxury. The Greeks valued science and mathematics, while the Persians had initially allowed multiculturalism among the different ethnic groups of its empire (until years of war with Rome). 
Barbary Coast|1975|19th-century government agent and master of disguise Jeff Cable operates out of a secret room in a San Francisco casino owned by his best pal Cash Conover. Conover is sort of a dandy, and would rather avoid trouble at all costs, but Cable's persuasiveness coupled with Cash's sense of duty and a weakness for the fairer sex shared by both men usually leads them into dangerous missions. 
Barbee Rehab|2017|Dr. Midge is still hold up on the roof waiting for reinforcements to arrive. Cop Ken is having nightmares? Who knew he even had a conscience? Ken is cleaned and ready. Dog Lover is now Halloween Barbee-what is this her 3rd or 4th Personality? Cat Lady has has taking the Dr. chair. Back up arrives in the form of a "Glinda the Good Witch". The drama is heating up in the rehab house. The "patients" are in for some strange shit. 
Barber Shop|2017|We meet 6 populations in transition via the microcosm of the local barber shop: in Rio de Janeiro, barber Pedro picks teenagers from the street to teach them a profession. The inhabitants of Clacton-on-Sea reflect on post-Brexit society. In South Africa, post Mandela era, the white middle class is degrading to poverty. Detroit's young and old inhabitants, each in their own way, have learned to overcome the city's bankruptcy. The Sahrawi refugees question the fight for their land. In India, hairdresser Soniya helps her clients to fight for women's rights. In every episode, a population finds itself on the verge of change and a barber plays his role. As opinion maker, as confessor, as story collector, as society barometer. Gradually, Barber Shop measures the state of our world, offering dialogue and human resilience as a hopeful perspective for the future. 
Barcelona 1992: Games of the XXV Olympiad|1992|Coverage of the archery (women's individual), athletics (men's high jump, men's hammer throw, women's 3000 m and women's javelin throw), badminton, baseball, basketball, boxing, canoeing (men's slalom K-1 and C-2), cycling (men's individual road race), diving (women's 3 m springboard), equestrian, fencing (men's sabre), field hockey, football, gymnastics (men's floor, vault, parallel bars, horizontal bar, rings and pommel horse), handball, judo (men's 60 kg and women's 48 kg), rowing, sailing, shooting (men's 50 m rifle three positions), synchonized swimming, table tennis, tennis, volleyball, water polo and weightlifting (men's 100 kg). 
Barcelona any 1|2009|Barcelona Year 1 is a documentary serial that meets again the main characters of Barcelona Year Zero one year later. Now they don't see the city the same way they did when they first arrived. They have got used to the new place and many good and bad things has happened to their lives. This time, we follow them closer: at home, at work, with friends and family and to their favorite spots in the city. 
Barcelona any zero|2008|Barcelona Year Zero is a documentary-series that shows the city throw the eyes of people that have been living in the city for a short while. In each chapter, people from different origins and social classes explain us how they experience the city. Top-executives, street sellers, hotel directors, taxi drivers, children in school age and even a seminarian talk about the same places of Barcelona, showing their contrasting views. A funny mix, sometimes dramatic but always surprising. 
Barchords|2000|From the depths of smoky bars and noisy clubs dwells the life force of rock and roll, it is in places like these that BarChords have their fingers on its pulse. A showcase of the music scene in the heart of North Carolina, BarChords takes the audience on a volume to ten, backstage, in the audience, and in your face ride through one of America's premier creative hubs. Here the experience doesn't end with the music alone but moves deeper into the mind sets of the musicians, the stories of the songs and the sometimes chaotic life of the rock and roll club, the rock and roll band and the rock and roll fan. So prepare yourself to go beyond entertainment and slip into a way of life. Welcome to BarChords. 
Barclays Premier League on NBC|2014|In the early Sunday match from week 2 of the 2017-2018 Barclays Premier League season, Huddersfield Town FC hosts its first Premier League match vs. Newcastle United FC, a battle of clubs that earned promotion from last year's Championship. 
Barda - Et rollespil|2006|This episodes plot is about a magician and a warrior. They are going on a quest to find the recipe for a machine. They have to go back in time to search for it, but the man with the time machine is always sleeping and is very hard to wake. But will they succeed? 
Barda|2006|The adventures have managed to find a map of Barda and it is important for their success. Unfortunately, it is captured by Orch Grakk and the other orchers. The adventures are led to emptiness where Grakk enchants them and puts them to work. In the emptiness there is also Egil and outer humans that has been capture. 
Bare Feet with Mickela Mallozzi|2014|Montreal's European history translates to its traditional dances from France, England, Scotland, and Ireland - Mickela gets a taste of this Old World feel at La Grande Rencontre Festival, while also experiencing the artistic modernity of this city. She also gets a first-hand lesson on dance for people with disabilities. 
Barefoot Contessa|2002|Ina celebrates Thanksgiving, at the barn, with her friend and neighbor 'Bobby Flay' (qv), who smokes a turkey and shares his recipes for easy 11-layer potato gratin and a seasonal heartland chopped salad. Meanwhile, Ina cooks orange-honey glazed carrots; bread pudding and a lemon-ginger molasses cake. 
Barefoot in the Park|1970|Based upon a play by Neil Simon (and a film), this gentle sitcom detailed the initial years of marriage between attorney Paul Bratter and his wife Corie, who lived together in a tiny studio apartment in New York City. 
Barely Beer Barons|2017|Barely Beer Barons shows how three friends found their path to brewery ownership and the promise of fresh craft beer for their San Bernardino, California-based brewery. The show chronicles Brew Rebellion's dream of brewing up a business, approaching the operation in their brand of unconventional, unfettered acumen. By their own accounts, "It's ugly, but it's all theirs." 
Barely Famous|2015|The daughters of David Foster a well respected musician in HollyWood (who was also step-father to Brody and Brandon Jenner) want to do a "non-reality" show about life in Los Angeles with the famous, craziness, plastic surgery, "celebrity for doing nothing" etc.. But they can only get the reality show division of VH-1 to take it on. A spoof on reality television, where two sisters (who are the real- life daughters of celebrity composer/ songwriter, David Foster) obsessively pitch their "docu-series," which highlights the superficial, and celebrity obsessed city of Los Angeles. 
Barely Legal Drivers|2013|Barely Legal Drivers - Series 2: 3. Renaldo and Zahra Britain's young drivers are some of the most dangerous in Europe. This series follows another 12 new drivers to see what they are really like behind the wheel. In each episode, two new drivers are let loose on the road in the family car for a week. The young drivers believe they are filming a slice of modern teenage life, but in fact it is all about their driving. The cars are fitted with state-of-the-art cameras and a hidden telemetry device to track their speed. Each of them takes three trips that test every aspect of their driving. Little do they know that their parents are watching their every move on the road. Nor do they have any idea that former traffic cop Judith Roberts and top driving instructor John Lepine MBE are judging their road skills. At the end of the three journeys, Judge Judith reaches a decision on each driver. If she hasn't liked what she's seen, she will hand out bespoke driving lessons that target bad habits. But if she thinks the novices are up to scratch, she will hand their parents the cash to buy them a car of their own. Twenty-year-old Zahra from Leicester is the baby of the family and has got used to her twin sister Fahra - older by just five minutes - and her mum constantly bailing her out. Now she's preparing to move to Manchester and leave them both behind for the first time. Can she cope? Driving could be the acid test that proves to her mum the time has come to let go. But Zahra is no natural born talent on the road. It took her six attempts to pass her test. Can her mum bear to look? In south London, 18-year-old Renaldo has just started his first year at uni and has thrown himself into the nightlife. But his mum Nadine raised him as a strict Christian and Skypes and phones to ensure he is getting himself to church. Renaldo is pulled in two directions. Little does he know that his mum is about to see how he deals with temptation, first-hand. Over the week, Zahra and Renaldo make three road trips, completely unaware that their parents are secretly scrutinising their driving, as are judges Judith and John. At the end of the three drives, Judith alone decides whether they are ready to be trusted with their own car or sent back to driving school for a refresher. 
Barend en Van Dorp|1990|Originally starting out as a weekly sports show, Barend en Van Dorp turned into a daily late night talk show in 1998. Together with former soccer player, now writer 'Jan Mulder (II)' (qv) they talk about the news of the day. Guest artists play music between the discussions. 
Baretta|1975|Tony Baretta is a street-smart, maverick undercover cop with the NYPD, who won't hesitate for a second to toss the rule book out the window if it stands between himself and taking some bad guy off the street. His unconventional methods often land him in hot water with his boss (Inspector Schiller, later Lt. Brubaker), but as long as Baretta was getting the job done, there wasn't much they could do. Ex-cop Billy and Huggy Bear-wannabe Rooster were Baretta's main men on the street, and Fred was his pet cockatoo. 
Barflies|2013|"The Happy Ending Bar" sends four bartenders across the country in an effort to find the perfect location to open their next establishment. The glamorous and unglamorous sides of the rock star life of bartending are revealed in this knock down, drag out romp through high end, high-class nightclubs to hole in the wall, backwoods, hillbilly, drunken barfight ridden watering holes. We'll see not only what goes on in front of the bar but behind the alcohol curtain - Set ups, clean ups, hook ups, shut downs, and nervous breakdowns. Whoever said bartending was easy was drunk off generous over-pours. These guys work and party hard from town to town living off just their charm and their tips; both of which fluctuate dramatically from night to night... What works in LA just might get you cold-cocked in South Dakota. Lord forgive them for they know not what they'll do in the Bible Belt. Never being sure if they'll make enough money to get to the next city takes a toll on the best of friends. Throw in an RV, a stake in the bar-to-be, an endless supply of women and alcohol, egos, libidos, and a shared toilet with poor ventilation, and you've got a recipe for reality show magic. Empty your bowels and cleanse your liver before you hop on board this fast paced, fucked up road trip across the land of the free and the home of the depraved. 
Bargain Hunt|2000|Bargain Hunt - Series 39: 30. Norfolk 29 Tim Wonnacott is joined by two top teams of antique enthusiasts at the Norfolk Showground. The teams are accompanied around the fair by experts Paul Laidlaw and Catherine Southon. Tim is bowled over by a spherical curio and the auction reveals some surprise results for one of the teams! 
Bargain Hunters|1987|"Bargain Hunters" was on the short list of game shows which attempted to use elements of the then-relatively new medium of home-shopping network services with those of game shows. Six contestants competed in this "Price is Right" copy, wherein the object was to spot merchandise bargains. Three games were played, with two contestants playing each game: "Bargain Quiz," where contestants had to decide if a merchandise item's price was a bargain and won points based on the number of correct guesses; "Bargain Trap," where the two contestants chose prizes and tried to avoid which among the five was overpriced; and "Bargain Busters," where the contestants were shown three prices to a single item, and won points based on correct choices. The three contestants who won their respective games played the "Super Savers Round," where they were shown seven items of merchandise and had to choose the three that were the best bargains; the one choosing the prices representing the largest total bargain won all seven prizes. Throughout the show, viewers could call a special 1-800 number to order the merchandise items featured as prizes on the show. 
Barging Round Britain|2015|The broadcaster navigates the Kennet and Avon Canal from Bath toward London, as his exploration of some of Britain's best waterways and their history continues. Along the way, he proves hopeless at making beer barrels, a little better at stoking steam engines, and a real natural with Freddie the narrow-boat horse. 
Barinia: Food and People of the Mediterranean|2015|In this series, Patrick, Narelle and their dog Shadow take you on a stunning cultural and culinary voyage along the coastal landscapes of Southern Europe and Eastern Turkey. At each port they visit friends and celebrate the customs that are born of a deep connection between the land, the sea and the people. Their 25 year anniversary aboard a classic yacht called Barinia (which means 'Mistress' in Russian) is the centerpiece of the series. In the face of modernity and rapid change, Patrick and Narelle give a voice to the local characters and to a quest to preserve their meaning through precious traditions. This unique journey pushes beyond the veneer of common tourism and provides the viewer an insight on what it's like to live in these villages. Along the way Patrick and Narelle also explore significant historic, archaeological and architectural landmarks. At the heart of their search is a passion to discover how local knowledge is passed down through generations, and it is Patrick and Narelle's mission to both celebrate and preserve this way of life. Narelle, the yacht's chef, has developed a philosophy of simplicity, inspired by the creative and spontaneous cooking habits of the villagers. Armed with fresh seasonal produce and ingredients from each local market, she cooks aboard Barinia's small galley in true artisan tradition, creating culinary delights to share with guests along the way. It is a celebration of culture through food, wine and conversation. 
Baristas|2013|Take 4 coffee shop workers, one crazy boss, a slew of interesting customers, and put them all in compromising situations...there you have "Baristas". A laugh out loud comedy web series, about working in a neighborhood coffee shop, and dealing with life's little surprises. 
BarkFest|2017|Nat Geo WILD celebrates pawsome dogs with its inaugural BarkFest weekend, kicking off Friday, April 14. It's a weekend of all bark, no bite TV featuring some of the smartest, most unique and cutest canines in the world. There will be surfing dogs, service dogs, games to find out if your dog is a genius, Cesar Millan marathons and much more. Calling all dog lovers. 
Barkitecture|2005|Barkitecture gets families barking up the right tree! Each episode is the rags to riches story of a wayward dog finding a permanent home, and the family who welcomes the new pet into their lives. Hosts Dr. Karen Tobias and Kenny Alfonso walk the family through the adoption process and help them prepare for the dog's homecoming. Dr. Karen uses her experience as a veterinarian to give the family tips on how to care for their new friend and teaches them how to pick out the best supplies. Kenny designs and builds a stylish, custom doghouse that's safe and functional. 
Barley Charlie|1964|Joan and Shirley Muggleton are two sisters who inherit a run-down roadhouse/garage from their Uncle Ted in the fictitious locale of Frog's Hollow, located on the Hume Highway between Sydney and Melbourne (Australia). They also inherit Charlie Appleby, a lazy mechanic Charlie Appleby played by Edward Hepple. 
Barmageddon|2012|Seemingly insane conspiracy theorist Nate Schiller is the only person in the world who sees a connection between the 2012 Mayan End-of-the-World prophecy, aliens, and Butterfinger. With the help of hippie-dippy intrepid reporter Vicky Sweet, he tries to save the world - and make sure that nobody's gonna lay a finger on anyone's Butterfinger. 
Barn Hunters|2014|Sean and the guys at Bucks County Timbercraft are closing in on the completion of a barn relocation and transformation into a new barn home. Interiors include a stunning Great Room/kitchen, massive master bed and bath and basement man cave. 
Barnaby Jones|1973|Barnaby Jones was a former private eye who temporarily came out of retirement to track down the killer of his son Hal, who had taken over the family business. After bringing Hal's murderer to justice (with the assistance of fellow CBS gumshoe Frank Cannon), Jones decided retirement just wasn't his bag after all, and rehung his shingle with the assistance of daughter-in-law Betty, who ran the office and Barnaby's personal crime laboratory, and (later) young distant cousin Jedidiah, who did the cases' legwork. Former private investigator Barnaby Jones comes out of retirement to find the person who killed his son Hal. With the aid of fellow P.I. Frank Cannon, Barnaby eventually finds his son's killers. Barnaby then decides to come out of retirement and resumes his practice with Hal's widow Betty serving as his secretary. A few years later, Barnaby's cousin Jedidiah (a.k.a. J.R.), a law student, seeks Barnaby's help in finding the killers of his father. Just like a few years earlier, the two find the men who killed J.R.'s father and as a result J.R. decides to stay on with Barnaby working as his legman while he is studying law. Their contact on the L.A.P.D. is Lt. John Biddle. 
Barney & Friends|1992|Hey kids! Pick your feet up off the floor; it's time to dance with the dinosaur - Barney, that is, in this high-energy song and dance revue. You can't help but twist and shout to these infectious grooves, a compliation of funky favorites and danceable debuts. When you're ready to get down to some serious singing and swinging, Barney's got the dino dancin' tunes you'll want to see again and again! Get ready to laugh and learn as Barney and his friends take a tee-riffic trip and learn about four-wheeled ways to get around! From fire trucks to dump trucks to bumping up and down in a little red wagon, you can travel anywhere and build anything when you use your imagination. 
Barney Miller|1974|Barney Miller is the kind of cop we'd all like to run into. He is always sensible. He maintains order over a squad room of detectives who gamble for a hobby, get hit on by anything in skirts, go to renaissance philosophy conventions for fun, and would really prefer to be writing. Nearly all of the action takes place in the squad room where the citizens and criminals are brought in to complicate the mix. 
Barnwood Builders|2013|Mark's clients want bigger and bigger antique log homes, but the pioneers didn't build big log cabins. They did build big barns, though, so the guys try to build a 1200 square foot cabin using barn beams from their Boneyard inventory. And Mark's friend shows up to make a one-of-a-kind whiskey tap out of an unused beam end. 
